model,split,coverage_bucket,samples,false_stop_count,false_stop_rate,within_bucket_auroc,within_bucket_auroc_reason,stop_vs_bucket_auroc,mean_stop_probability,std_stop_probability,median_stop_probability,p90_stop_probability
QueryStage,test,easy_continue,10,6,0.6,,undefined_single_continue_class,0.8981693363844393,0.4327847298234701,0.40992797219903715,0.29630469530820847,0.9786367654800415
QueryStage,test,medium_partial,45,39,0.8666666666666667,,undefined_single_continue_class,0.8350029663530807,0.5560300409586894,0.3944285956437469,0.5520033836364746,0.9994706630706787
QueryStage,test,hard_partial,323,260,0.804953560371517,,undefined_single_continue_class,0.8094056483246075,0.6136018158810288,0.41323251745807127,0.8616529107093811,0.9994499564170838
ScoreAwareBaseline,test,easy_continue,10,1,0.1,,undefined_single_continue_class,0.9935926773455377,0.08005203381180763,0.12565259086641553,0.017696300521492958,0.15193619802594174
ScoreAwareBaseline,test,medium_partial,45,28,0.6222222222222222,,undefined_single_continue_class,0.9213111280617,0.5290369874487321,0.38168531984265863,0.5830274820327759,0.9686866641044617
ScoreAwareBaseline,test,hard_partial,323,154,0.47678018575851394,,undefined_single_continue_class,0.9139780565965997,0.4202344209509368,0.40090121731943523,0.2917630970478058,0.9970564007759094
FinalController,test,easy_continue,10,1,0.1,,undefined_single_continue_class,0.9936689549961861,0.12732874043285847,0.10705112053750755,0.11152784898877144,0.23210161179304117
FinalController,test,medium_partial,45,21,0.4666666666666667,,undefined_single_continue_class,0.9333672345113992,0.41649738343225584,0.3255955118001938,0.360066294670105,0.9087920665740967
FinalController,test,hard_partial,323,137,0.4241486068111455,,undefined_single_continue_class,0.9303163515195311,0.3870142694654941,0.3573643291587534,0.23904816806316376,0.9586108088493348
