critic,accuracy,macro_f1,sufficient_precision,sufficient_recall,sufficient_f1,false_stop_rate,sufficient_auroc_ovr,truncation_ratio,mean_inference_latency_ms
query_only,0.8246,0.4240929411333591,0.8770975056689342,0.9235912129894938,0.8997441265410561,0.6674876847290641,0.7785796328708343,0.0,0.590889428416267
query_evidence,0.8782,0.7256850737817263,0.9663473983950298,0.8913562559694365,0.9273382188548006,0.16009852216748768,0.9440719672910167,0.879,8.445528800599277
