split,method,evaluation_scope,samples,nll,brier,ece,auroc,hard_partial_continue_count,hard_partial_mean_stop_probability,hard_partial_high_confidence_false_stop_count,hard_partial_high_confidence_false_stop_rate
dev_calibration,raw,actionable_controller_stages,1000,0.16654676130280768,0.048974758991141065,0.02679809653945267,0.9622685127849471,130,0.2723493462858292,8,0.06153846153846154
dev_calibration,temperature,actionable_controller_stages,1000,0.16610608143853342,0.049009985110784436,0.025370558143672887,0.9622685127849471,130,0.2791792037334963,8,0.06153846153846154
dev_policy,raw,actionable_controller_stages,1000,0.16135968177160073,0.04391860638307477,0.02012202241830531,0.954314765694076,112,0.2951413757733202,11,0.09821428571428571
dev_policy,temperature,actionable_controller_stages,1000,0.16019405647318355,0.044026376037768926,0.02103199002872667,0.954314765694076,112,0.3004734622327773,10,0.08928571428571429
