policy,risk_target,threshold,questions,macro_f1,auroc,false_stop_rate,hard_partial_false_stop_rate,unnecessary_escalation_rate,average_retrieved_chunks,average_unique_titles,average_reranker_calls,average_final_stage,estimated_average_retrieval_latency_ms
score_point_risk_20,0.2,1.0000000000000002,12576,0.39710923080610755,0.527397758221421,0.0,0.0,1.0,20.293256997455472,16.859494274809162,1.0,3.0,1316.0545439891125
score_conservative_risk_20,0.2,1.0000000000000002,12576,0.39710923080610755,0.527397758221421,0.0,0.0,1.0,20.293256997455472,16.859494274809162,1.0,3.0,1316.0545439891125
score_point_risk_10,0.1,1.0000000000000002,12576,0.39710923080610755,0.527397758221421,0.0,0.0,1.0,20.293256997455472,16.859494274809162,1.0,3.0,1316.0545439891125
score_conservative_risk_10,0.1,1.0000000000000002,12576,0.39710923080610755,0.527397758221421,0.0,0.0,1.0,20.293256997455472,16.859494274809162,1.0,3.0,1316.0545439891125
score_point_risk_05,0.05,1.0000000000000002,12576,0.39710923080610755,0.527397758221421,0.0,0.0,1.0,20.293256997455472,16.859494274809162,1.0,3.0,1316.0545439891125
score_conservative_risk_05,0.05,1.0000000000000002,12576,0.39710923080610755,0.527397758221421,0.0,0.0,1.0,20.293256997455472,16.859494274809162,1.0,3.0,1316.0545439891125
