split,analysis,source_stage,target_stage,questions,eligible_current_incomplete,rescued,rescue_rate,complete_coverage_gain,eligible_extra_chunks_per_rescued_question,eligible_extra_latency_ms_per_rescued_question,rescued_only_mean_incremental_chunks,rescued_only_mean_incremental_latency_ms
train_core,Dense_to_Hybrid_Rescue,dense@5,hybrid@10,163454,109402,4542,0.041516608471508745,0.027787634441494242,146.59004843681197,31518.439732760467,6.322985468956407,1213.7330877271702
train_core,Dense_to_Final_Rescue,dense@5,rerank@20,163454,109402,6716,0.06138827443739603,0.041088012529519005,247.98704586063133,22674.845267456774,15.33695652173913,1263.3437253643522
train_core,Hybrid_to_Final_Rescue,hybrid@10,rerank@20,163454,104860,2174,0.02073240511157734,0.013300378088024766,440.8712051517939,4024.223579101225,9.366145354185832,83.94284154373184
dev_calibration,Dense_to_Hybrid_Rescue,dense@5,hybrid@10,2000,1322,75,0.056732223903177004,0.0375,107.76,23900.8413368091,6.1466666666666665,1271.5477319993079
dev_calibration,Dense_to_Final_Rescue,dense@5,rerank@20,2000,1322,101,0.07639939485627836,0.0505,199.41584158415841,18551.088537806816,15.306930693069306,1287.1718530375729
dev_calibration,Hybrid_to_Final_Rescue,hybrid@10,rerank@20,2000,1247,26,0.020850040096230954,0.013,437.4230769230769,2941.0761662651425,9.461538461538462,61.45049501579846
dev_policy,Dense_to_Hybrid_Rescue,dense@5,hybrid@10,2000,1356,57,0.0420353982300885,0.0285,143.94736842105263,32273.820683744067,6.0701754385964914,1237.7860435823861
dev_policy,Dense_to_Final_Rescue,dense@5,rerank@20,2000,1356,88,0.06489675516224189,0.044,234.60227272727272,21850.285513407787,15.284090909090908,1264.6354689173181
dev_policy,Hybrid_to_Final_Rescue,hybrid@10,rerank@20,2000,1299,31,0.02386451116243264,0.0155,384.2258064516129,2571.798748785025,9.612903225806452,61.43746210211482
