system,comparison_role,decision_scope,threshold,questions,decisions,accuracy,macro_f1,stop_precision,stop_recall,stop_f1,false_stop_rate,hard_partial_false_stop_rate,unnecessary_escalation_rate,recoverable_false_stop_rate,unrecoverable_early_stop_rate,terminal_retrieval_failure_rate,mean_decision_latency_ms,mean_latency_per_question_ms,mean_input_tokens_per_decision,mean_input_tokens_per_question,mean_output_tokens_per_decision,mean_output_tokens_per_question,strict_parse_rate,label_probability_available,auroc
Judge-512,hard_label_baseline,all_actionable,,2000,4000,0.723,0.6016085235640648,0.7651006711409396,0.25427509293680295,0.38169642857142855,0.03954802259887006,0.039596273291925464,0.745724907063197,,,0.634,140.85542129236273,281.71084258472547,647.90375,1295.8075,3.0,6.0,1.0,False,
Judge-512,hard_label_baseline,sequential_reached,,2000,3779,0.7269118814501191,0.5642226930193891,0.7275747508305648,0.18733960650128315,0.2979591836734694,0.031417624521072794,0.03121295930462268,0.8126603934987169,0.01680672268907563,0.03211561621838619,0.634,140.65873922068417,265.77468775748275,645.9094998676899,1220.446,3.0,5.6685,1.0,False,
Judge-Full,hard_label_baseline,all_actionable,,2000,4000,0.71725,0.5792144201097559,0.7939560439560439,0.21486988847583643,0.3382094792276185,0.02824858757062147,0.027950310559006212,0.7851301115241636,,,0.634,175.9560676959809,351.9121353919618,998.82275,1997.6455,3.0,6.0,1.0,False,
Judge-Full,hard_label_baseline,sequential_reached,,2000,3805,0.7177398160315375,0.5335574897524799,0.7555555555555555,0.14297729184188393,0.24045261669024046,0.02102446483180428,0.020496649586125345,0.8570227081581161,0.03361344537815126,0.02042450941129355,0.634,174.66540418237292,332.30093145696446,986.1127463863338,1876.0795,3.0,5.7075,1.0,False,
EvidenceAwareClassification,frozen_classification_operating_point,all_actionable,0.7900000000000001,2000,4000,0.991,0.9899038595021088,0.9895287958115183,0.9836431226765799,0.9865771812080537,0.005273069679849341,0.005434782608695652,0.016356877323420074,,,0.634,13.108258018619381,26.216516037238762,482.439,964.878,0.0,0.0,,True,0.9995914281113701
EvidenceAwareClassification,frozen_classification_operating_point,sequential_reached,0.7900000000000001,2000,3356,0.9919547079856973,0.9878476490125511,0.9828815977175464,0.9786931818181818,0.9807829181494662,0.004524886877828055,0.004663816556548776,0.02130681818181818,0.025210084033613446,0.0035530990919857876,0.634,13.111020840068388,22.000292969634756,479.6990464839094,804.935,0.0,0.0,,True,0.9994943781708487
EvidenceAwareRisk10,frozen_risk_controlled_operating_point,all_actionable,0.01,2000,4000,0.9595,0.955864612246099,0.8925016589250165,1.0,0.9431977559607293,0.061016949152542375,0.05822981366459627,0.0,,,0.634,13.108258018619381,26.216516037238762,482.439,964.878,0.0,0.0,,True,0.9995914281113701
EvidenceAwareRisk10,frozen_risk_controlled_operating_point,sequential_reached,0.01,2000,3298,0.9587628865979382,0.9415423819294997,0.8345498783454988,1.0,0.9098143236074271,0.05206738131699847,0.048953809711804186,0.0,0.26126126126126126,0.042782886845261894,0.634,13.111628347888065,21.62107514566742,479.3966040024257,790.525,0.0,0.0,,True,0.9996428236575751
