row_type,stage,gold_fact_bucket,questions,supporting_fact_recall,complete_evidence_coverage,terminal_retrieval_failure_rate,average_retrieved_chunks,average_unique_titles,average_retrieval_latency_ms
stage,dense@5,all,12576,0.6526479007633587,0.317589058524173,,5.0,4.055661577608142,42.52437259654578
stage,hybrid@10,all,12576,0.6872269932145886,0.36506043256997456,,11.139074427480915,9.223202926208652,1250.6859934655947
stage,rerank@20,all,12576,0.7054760390161152,0.39782124681933845,0.6021787531806615,20.293256997455472,16.859494274809162,1316.0545439891125
gold_fact_bucket,dense@5,2,9805,0.7005099439061703,0.4056093829678735,,,,
gold_fact_bucket,hybrid@10,2,9805,0.7322284548699644,0.4655787863335033,,,,
gold_fact_bucket,rerank@20,2,9805,0.7531871494135645,0.5068842427332994,,,,
gold_fact_bucket,dense@5,3,20,0.9333333333333332,0.85,,,,
gold_fact_bucket,hybrid@10,3,20,0.9666666666666666,0.9,,,,
gold_fact_bucket,rerank@20,3,20,0.9666666666666666,0.9,,,,
gold_fact_bucket,dense@5,4+,2751,0.4800193868896159,0.0,,,,
gold_fact_bucket,hybrid@10,4+,2751,0.5248031019023386,0.0029080334423845873,,,,
gold_fact_bucket,rerank@20,4+,2751,0.5335272022294923,0.0054525627044711015,,,,
