dataset,system,answer_f1,false_stop_rate,complete_evidence_coverage,average_retrieved_chunks,average_reranker_calls,total_latency_mean_ms
HotpotQA,FixedHeavy,0.510839232130099,0.0,0.922,20.646,1.0,587.7891366463155
HotpotQA,Risk10,0.5104395222321538,0.08445945945945946,0.906,9.38,0.207,347.66887517040595
2WikiMultiHopQA,FixedHeavy,0.19215672075640125,,0.39782124681933845,20.293256997455472,1.0,1676.3052861272201
2WikiMultiHopQA,Risk10,0.20256212239279647,0.12310521976279572,0.35520038167938933,13.268686386768447,0.5010337150127226,1124.3924006067339
