system,questions,samples,accuracy,macro_f1,stop_precision,stop_recall,stop_f1,stop_support,auroc,false_stop_count,actual_continue_count,false_stop_rate,unnecessary_escalation_count,actual_stop_count,unnecessary_escalation_rate,hard_partial_false_stop_rate,recoverable_false_stop_rate,unrecoverable_early_stop_rate,reached_actionable_decisions,answer_em,answer_f1,supporting_fact_recall,complete_evidence_coverage,model_visible_supporting_fact_recall,model_visible_complete_evidence_coverage,average_final_stage,average_retrieved_chunks,average_unique_titles,average_reranker_calls,average_controller_calls,average_llm_input_tokens,average_llm_output_tokens,average_llm_total_tokens,retrieval_latency_mean_ms,controller_latency_mean_ms,generation_latency_mean_ms,total_latency_mean_ms,early_stop_rate,probability,threshold,risk_target,strict_parse_rate,judge_input_tokens_per_question,judge_output_tokens_per_question
EvidenceAwareClassification,12576,21137,0.9732696219898755,0.9610653159404154,0.9395698924731183,0.9389641091768751,0.9392669031495217,4653,0.9950041820049874,281,16484,0.017046833292890074,284,4653,0.06103589082312486,0.017456668944523825,0.0931899641577061,0.010007290078865399,21137,0.18042302798982188,0.20630785078572253,0.7003207167090755,0.387484096692112,0.7003207167090755,0.387484096692112,2.310989185750636,14.943145674300254,12.173027989821882,0.6302480916030534,1.6807410941475827,1778.6638835877864,3.0689408396946565,1781.7328244274809,914.0556127666697,22.031587924583164,305.4900760361078,1241.5772767273606,0.36975190839694655,raw_stop_probability,0.7900000000000001,,,,
temperature_conservative_risk_20,12576,20113,0.9028986227812857,0.8750752115610139,0.6906772908366534,0.9972388403129314,0.8161190095094624,4346,,1941,15767,0.12310521976279572,12,4346,0.0027611596870685687,0.12185611230259309,0.429831595829992,0.09676308539944904,20113,0.17692430025445294,0.20256212239279647,0.6826680449533503,0.35520038167938933,0.6826680449533503,0.35520038167938933,2.100349872773537,13.268686386768447,10.834526081424936,0.5010337150127226,1.5993161577608141,1566.0655216284988,3.050413486005089,1569.1159351145038,820.9090682954057,20.964248849275734,282.51908346205244,1124.3924006067339,0.49896628498727735,temperature_stop_probability,0.01,0.2,,,
temperature_conservative_risk_10,12576,20113,0.9028986227812857,0.8750752115610139,0.6906772908366534,0.9972388403129314,0.8161190095094624,4346,,1941,15767,0.12310521976279572,12,4346,0.0027611596870685687,0.12185611230259309,0.429831595829992,0.09676308539944904,20113,0.17692430025445294,0.20256212239279647,0.6826680449533503,0.35520038167938933,0.6826680449533503,0.35520038167938933,2.100349872773537,13.268686386768447,10.834526081424936,0.5010337150127226,1.5993161577608141,1566.0655216284988,3.050413486005089,1569.1159351145038,820.9090682954057,20.964248849275734,282.51908346205244,1124.3924006067339,0.49896628498727735,temperature_stop_probability,0.01,0.1,,,
temperature_conservative_risk_05,12576,20306,0.9157391903870777,0.8897773604622691,0.7206464379947229,0.9961249145201733,0.8362836092239977,4387,,1694,15919,0.10641371945473962,17,4387,0.0038750854798267607,0.10515477186434133,0.3661417322834646,0.08389651170728378,20306,0.17771946564885496,0.20360488352620645,0.685669794317218,0.36084605597964375,0.685669794317218,0.36084605597964375,2.1324745547073793,13.517175572519085,11.031727099236642,0.5178117048346056,1.6146628498727735,1597.3335718829517,3.053594147582697,1600.3871660305344,837.6781854731859,21.165417249211604,285.9067301158081,1144.7503328382056,0.4821882951653944,temperature_stop_probability,0.02,0.05,,,
Judge-512,12576,23316,0.7550609023846285,0.6194378238905791,0.782258064516129,0.26175259196136913,0.3922528466531872,7041,,513,16275,0.03152073732718894,5198,7041,0.7382474080386309,0.031531248033230534,0.044096728307254626,0.030331562310848072,23316,0.173823155216285,0.19794994770897936,0.702467663273961,0.3928912213740458,0.702467663273961,0.3928912213740458,2.6666666666666665,17.685114503816795,14.583730916030534,0.8126590330788804,1.8540076335877862,2074.8557569974555,3.0279898218829517,2077.8837468193383,1117.8403368040451,336.470477836307,334.67949391196817,1788.9903085523201,0.1873409669211196,,,,1.0,1223.1787531806615,5.562022900763359
Judge-Full,12576,23491,0.7535226256864331,0.6055783188761328,0.8368686868686869,0.23259404828747895,0.3640158172231986,7124,,323,16367,0.019734832284474858,5467,7124,0.767405951712521,0.019712140175219023,0.03911806543385491,0.017913241093509794,23491,0.1741412213740458,0.19844733253365426,0.702971268023749,0.3934478371501272,0.702971268023749,0.3934478371501272,2.710480279898219,18.041825699745548,14.885019083969466,0.8425572519083969,1.8679230279898218,2110.4367048346057,3.0329993638676847,2113.469704198473,1140.1433012610448,411.972928199942,338.48204354301515,1890.598273004002,0.15744274809160305,,,,1.0,1970.3203721374045,5.603769083969466
ScoreThresholdRisk10,12576,25152,0.6586752544529262,0.39710923080610755,0.0,0.0,0.0,8585,,0,16567,0.0,8585,8585,1.0,0.0,0.0,0.0,25152,0.16777989821882952,0.19215672075640125,0.7054760390161154,0.39782124681933845,0.7054760390161154,0.39782124681933845,3.0,20.293256997455472,16.859494274809162,1.0,2.0,2329.6563295165392,3.0188454198473282,2332.6751749363866,1316.0545439891127,0.0,360.2507421381075,1676.3052861272201,0.0,,,,,,
