system,questions,samples,accuracy,macro_f1,stop_precision,stop_recall,stop_f1,stop_support,auroc,false_stop_count,actual_continue_count,false_stop_rate,unnecessary_escalation_count,actual_stop_count,unnecessary_escalation_rate,hard_partial_false_stop_rate,recoverable_false_stop_rate,unrecoverable_early_stop_rate,reached_actionable_decisions,answer_em,answer_f1,supporting_fact_recall,complete_evidence_coverage,model_visible_supporting_fact_recall,model_visible_complete_evidence_coverage,average_final_stage,average_retrieved_chunks,average_unique_titles,average_reranker_calls,average_controller_calls,average_llm_input_tokens,average_llm_output_tokens,average_llm_total_tokens,retrieval_latency_mean_ms,controller_latency_mean_ms,generation_latency_mean_ms,total_latency_mean_ms,early_stop_rate,probability,threshold,risk_target
temperature_conservative_risk_20,12576,20113,0.9028986227812857,0.8750752115610139,0.6906772908366534,0.9972388403129314,0.8161190095094624,4346,,1941,15767,0.12310521976279572,12,4346,0.0027611596870685687,0.12185611230259309,0.429831595829992,0.09676308539944904,20113,0.17692430025445294,0.20256212239279647,0.6826680449533503,0.35520038167938933,0.6826680449533503,0.35520038167938933,2.100349872773537,13.268686386768447,10.834526081424936,0.5010337150127226,1.5993161577608141,1566.0655216284988,3.050413486005089,1569.1159351145038,820.9090682954057,20.964248849275734,282.51908346205244,1124.3924006067339,0.49896628498727735,temperature_stop_probability,0.01,0.2
temperature_conservative_risk_10,12576,20113,0.9028986227812857,0.8750752115610139,0.6906772908366534,0.9972388403129314,0.8161190095094624,4346,,1941,15767,0.12310521976279572,12,4346,0.0027611596870685687,0.12185611230259309,0.429831595829992,0.09676308539944904,20113,0.17692430025445294,0.20256212239279647,0.6826680449533503,0.35520038167938933,0.6826680449533503,0.35520038167938933,2.100349872773537,13.268686386768447,10.834526081424936,0.5010337150127226,1.5993161577608141,1566.0655216284988,3.050413486005089,1569.1159351145038,820.9090682954057,20.964248849275734,282.51908346205244,1124.3924006067339,0.49896628498727735,temperature_stop_probability,0.01,0.1
temperature_conservative_risk_05,12576,20306,0.9157391903870777,0.8897773604622691,0.7206464379947229,0.9961249145201733,0.8362836092239977,4387,,1694,15919,0.10641371945473962,17,4387,0.0038750854798267607,0.10515477186434133,0.3661417322834646,0.08389651170728378,20306,0.17771946564885496,0.20360488352620645,0.685669794317218,0.36084605597964375,0.685669794317218,0.36084605597964375,2.1324745547073793,13.517175572519085,11.031727099236642,0.5178117048346056,1.6146628498727735,1597.3335718829517,3.053594147582697,1600.3871660305344,837.6781854731859,21.165417249211604,285.9067301158081,1144.7503328382056,0.4821882951653944,temperature_stop_probability,0.02,0.05
