baseline,representation,evidence_mode,variant,split,samples,threshold_selected_on_dev,accuracy,macro_f1,stop_precision,stop_recall,stop_f1,auroc,false_stop_rate,unnecessary_escalation_rate,partial_to_stop_false_count,truncation_ratio,mean_visible_evidence_chunk_ratio,mean_fully_visible_evidence_chunk_ratio,mean_visible_supporting_fact_ratio_evaluation_only,run_dir
evidence_only,uniform_packing,cumulative,sentence_256,test,3000,0.45000000000000007,0.8843333333333333,0.6093384986214265,0.8929188255613126,0.9858886346300534,0.9371034982780496,0.7683903801371383,0.8201058201058201,0.014111365369946605,305,0.9533333333333334,1.0,0.14708830613830612,0.3104777777777778,experiments/phase2/controller/sentence_256/evidence_only_uniform_cumulative
query_evidence,concat_truncate,cumulative,sentence_256,test,3000,0.2,0.909,0.7648037920865522,0.9306930693069307,0.9679633867276888,0.9489624228827819,0.9185206373421476,0.5,0.032036613272311214,189,0.9733333333333334,0.46130132592045636,0.35547246113789593,0.8643166666666666,experiments/phase2/controller/sentence_256/query_evidence_concat_truncate_cumulative
query_evidence,uniform_packing,cumulative,sentence_256,test,3000,0.13,0.898,0.702467381609243,0.9120996441281138,0.9774980930587338,0.9436671575846833,0.8739098147946355,0.6534391534391535,0.02250190694126621,246,0.9733333333333334,1.0,0.1168907536907537,0.2790222222222222,experiments/phase2/controller/sentence_256/query_evidence_uniform_packing_cumulative
query_evidence,score_aware_packing,cumulative,sentence_256,test,3000,0.33,0.92,0.7871774408087258,0.9334061135371179,0.9782608695652174,0.9553072625698324,0.9169572481929462,0.48412698412698413,0.021739130434782608,182,0.9733333333333334,1.0,0.1753871773154382,0.5698722222222222,experiments/phase2/controller/sentence_256/query_evidence_score_aware_packing_cumulative
query_evidence,uniform_packing,raw,sentence_256,test,3000,0.05,0.8943333333333333,0.7177095828246317,0.9080459770114943,0.9764387794515257,0.941001302810348,0.8845489855546439,0.6228710462287105,0.023561220548474315,256,0.9733333333333334,1.0,0.12179999999999999,0.30813888888888885,experiments/phase2/controller/sentence_256/query_evidence_uniform_packing_raw
query_evidence,hierarchical_mean,cumulative,sentence_256,test,3000,0.05,0.874,0.4663820704375667,0.874,1.0,0.9327641408751334,0.6082355647573039,1.0,0.0,368,,0.9057597817158687,,,experiments/phase2/controller/sentence_256/query_evidence_hierarchical_mean_cumulative
query_evidence,hierarchical_max,cumulative,sentence_256,test,3000,0.5700000000000002,0.873,0.488544607367374,0.8761329305135952,0.9954233409610984,0.9319764327798608,0.7319859632979389,0.9761904761904762,0.004576659038901602,362,,0.9057597817158687,,,experiments/phase2/controller/sentence_256/query_evidence_hierarchical_max_cumulative
query_evidence,hierarchical_mean_max,cumulative,sentence_256,test,3000,0.5400000000000001,0.875,0.49186418094151924,0.8766342608112638,0.9973302822273074,0.9330954504906334,0.7594428906404498,0.9735449735449735,0.002669717772692601,361,,0.9057597817158687,,,experiments/phase2/controller/sentence_256/query_evidence_hierarchical_mean_max_cumulative
