baseline,representation,evidence_mode,split,condition,samples,stop_f1,auroc,false_stop_rate,unnecessary_escalation_rate
evidence_only,uniform_packing,cumulative,dev,original,3000,0.94419522698726,0.7967187188092453,0.8299120234604106,0.010530274539300489
query_evidence,concat_truncate,cumulative,dev,original,3000,0.9573091849935317,0.9220232508638287,0.4750733137829912,0.025949605114704778
query_evidence,concat_truncate,cumulative,dev,evidence_order_shuffle,3000,0.8619786419504332,0.7584163340571886,0.4838709677419355,0.19556224144415194
query_evidence,concat_truncate,cumulative,dev,cross_question_evidence_swap,3000,0.4838263754492674,0.5804455404596132,0.2434017595307918,0.6709289206468597
query_evidence,concat_truncate,cumulative,dev,stage_metadata_removal,3000,0.947888096544158,0.9036057477564715,0.6392961876832844,0.025197442647611885
query_evidence,concat_truncate,cumulative,dev,title_only_evidence,3000,0.7980748195143295,0.7855609069623555,0.25806451612903225,0.3140278300112824
query_evidence,uniform_packing,cumulative,dev,original,3000,0.9542888362775451,0.8917073536564251,0.6217008797653959,0.014667168108311396
query_evidence,uniform_packing,cumulative,dev,evidence_order_shuffle,3000,0.9453826805605462,0.8054915580240405,0.8093841642228738,0.010530274539300489
query_evidence,uniform_packing,cumulative,dev,cross_question_evidence_swap,3000,0.7502794545048066,0.6669795162558632,0.39882697947214074,0.3689356901090636
query_evidence,uniform_packing,cumulative,dev,stage_metadata_removal,3000,0.9408823004107877,0.7812971824788054,0.8973607038123167,0.009402030838661151
query_evidence,uniform_packing,cumulative,dev,title_only_evidence,3000,0.9352703199705774,0.8190486799107551,0.6920821114369502,0.04362542309138774
query_evidence,score_aware_packing,cumulative,dev,original,3000,0.9592326139088729,0.9311120644874543,0.4750733137829912,0.022188792779240317
query_evidence,score_aware_packing,cumulative,dev,evidence_order_shuffle,3000,0.946470694973689,0.847031439729398,0.7155425219941349,0.01918014291086875
query_evidence,score_aware_packing,cumulative,dev,cross_question_evidence_swap,3000,0.6625209280076537,0.6115731555200674,0.40175953079178883,0.47912749153817225
query_evidence,score_aware_packing,cumulative,dev,stage_metadata_removal,3000,0.9466282005048684,0.8308831071147731,0.7683284457478006,0.012786761940579166
query_evidence,score_aware_packing,cumulative,dev,title_only_evidence,3000,0.9228753275926619,0.809067638375285,0.6392961876832844,0.07295975930801053
query_evidence,uniform_packing,raw,dev,original,3000,0.9486426999266324,0.8933288629731603,0.6368563685636857,0.01710376282782212
query_evidence,hierarchical_mean,cumulative,dev,original,3000,0.9397420038876126,0.6018501873237463,1.0,0.0
query_evidence,hierarchical_max,cumulative,dev,original,3000,0.9414893617021277,0.7251772599890374,0.9560117302052786,0.001504324934185784
query_evidence,hierarchical_mean_max,cumulative,dev,original,3000,0.9412808231328721,0.7488527316621798,0.9530791788856305,0.0022564874012786762
